,SNo,ObservationDate,Province/State,CountryName,Confirmed,Deaths,Recovered,CountryCode
0,3237,03/04/2020,,South Korea,5621.0,35.0,41.0,KOR
1,3238,03/04/2020,,Italy,3089.0,107.0,276.0,ITA
2,3239,03/04/2020,,Iran,2922.0,92.0,552.0,IRN
3,3254,03/04/2020,,Japan,331.0,6.0,43.0,JPN
4,3257,03/04/2020,,France,285.0,4.0,12.0,FRA
5,3258,03/04/2020,,Germany,262.0,0.0,16.0,DEU
6,3261,03/04/2020,,Spain,222.0,2.0,2.0,ESP
7,3268,03/04/2020,,Singapore,110.0,0.0,78.0,SGP
8,3269,03/04/2020,Hong Kong,Hong Kong,105.0,2.0,37.0,HKG
9,3272,03/04/2020,,Switzerland,90.0,0.0,3.0,CHE
10,3273,03/04/2020,,UK,85.0,0.0,8.0,GBR
11,3277,03/04/2020,,Kuwait,56.0,0.0,0.0,KWT
12,3278,03/04/2020,,Norway,56.0,0.0,0.0,NOR
13,3279,03/04/2020,,Bahrain,52.0,0.0,0.0,BHR
14,3280,03/04/2020,,Malaysia,50.0,0.0,22.0,MYS
15,3282,03/04/2020,,Thailand,43.0,1.0,31.0,THA
16,3283,03/04/2020,Taiwan,Taiwan,42.0,1.0,12.0,TWN
17,3284,03/04/2020,,Netherlands,38.0,0.0,0.0,NLD
18,3285,03/04/2020,,Iraq,35.0,2.0,0.0,IRQ
19,3286,03/04/2020,,Sweden,35.0,0.0,0.0,SWE
20,3288,03/04/2020,,Austria,29.0,0.0,0.0,AUT
21,3289,03/04/2020,,India,28.0,0.0,3.0,IND
22,3290,03/04/2020,,United Arab Emirates,27.0,0.0,5.0,ARE
23,3291,03/04/2020,,Iceland,26.0,0.0,0.0,ISL
24,3292,03/04/2020,,Belgium,23.0,0.0,1.0,BEL
25,3296,03/04/2020,,San Marino,16.0,1.0,0.0,SMR
26,3297,03/04/2020,,Vietnam,16.0,0.0,16.0,VNM
27,3298,03/04/2020,,Israel,15.0,0.0,1.0,ISR
28,3299,03/04/2020,,Oman,15.0,0.0,2.0,OMN
29,3300,03/04/2020,,Lebanon,13.0,0.0,1.0,LBN
30,3301,03/04/2020,,Algeria,12.0,0.0,0.0,DZA
31,3306,03/04/2020,,Croatia,10.0,0.0,0.0,HRV
32,3307,03/04/2020,,Denmark,10.0,0.0,0.0,DNK
33,3308,03/04/2020,,Ecuador,10.0,0.0,0.0,ECU
34,3309,03/04/2020,Macau,Macau,10.0,0.0,9.0,MAC
35,3311,03/04/2020,,Greece,9.0,0.0,0.0,GRC
36,3312,03/04/2020,,Czech Republic,8.0,0.0,0.0,CZE
37,3313,03/04/2020,,Qatar,8.0,0.0,0.0,QAT
38,3316,03/04/2020,,Belarus,6.0,0.0,0.0,BLR
39,3317,03/04/2020,,Finland,6.0,0.0,1.0,FIN
40,3318,03/04/2020,,Ireland,6.0,0.0,0.0,IRL
41,3320,03/04/2020,,Mexico,5.0,0.0,1.0,MEX
42,3321,03/04/2020,,Pakistan,5.0,0.0,0.0,PAK
43,3322,03/04/2020,,Portugal,5.0,0.0,0.0,PRT
44,3323,03/04/2020,,Brazil,4.0,0.0,0.0,BRA
45,3324,03/04/2020,,Romania,4.0,0.0,1.0,ROU
46,3325,03/04/2020,,Senegal,4.0,0.0,0.0,SEN
47,3327,03/04/2020,,Azerbaijan,3.0,0.0,0.0,AZE
48,3328,03/04/2020,,Georgia,3.0,0.0,0.0,GEO
49,3329,03/04/2020,,New Zealand,3.0,0.0,0.0,NZL
50,3330,03/04/2020,,Philippines,3.0,1.0,1.0,PHL
51,3331,03/04/2020,,Russia,3.0,0.0,2.0,RUS
52,3332,03/04/2020,,Saint Barthelemy,3.0,0.0,0.0,BLM
53,3335,03/04/2020,,Egypt,2.0,0.0,1.0,EGY
54,3336,03/04/2020,,Estonia,2.0,0.0,0.0,EST
55,3337,03/04/2020,,Hungary,2.0,0.0,0.0,HUN
56,3338,03/04/2020,,Indonesia,2.0,0.0,0.0,IDN
57,3349,03/04/2020,,Afghanistan,1.0,0.0,0.0,AFG
58,3350,03/04/2020,,Andorra,1.0,0.0,0.0,AND
59,3351,03/04/2020,,Argentina,1.0,0.0,0.0,ARG
60,3352,03/04/2020,,Armenia,1.0,0.0,0.0,ARM
61,3355,03/04/2020,,Cambodia,1.0,0.0,1.0,KHM
62,3358,03/04/2020,,Chile,1.0,0.0,0.0,CHL
63,3359,03/04/2020,,Dominican Republic,1.0,0.0,0.0,DOM
64,3360,03/04/2020,,Faroe Islands,1.0,0.0,0.0,FRO
65,3361,03/04/2020,,Gibraltar,1.0,0.0,0.0,GIB
66,3362,03/04/2020,,Jordan,1.0,0.0,0.0,JOR
67,3363,03/04/2020,,Latvia,1.0,0.0,0.0,LVA
68,3364,03/04/2020,,Liechtenstein,1.0,0.0,0.0,LIE
69,3365,03/04/2020,,Lithuania,1.0,0.0,0.0,LTU
70,3366,03/04/2020,,Luxembourg,1.0,0.0,0.0,LUX
71,3368,03/04/2020,,Monaco,1.0,0.0,0.0,MCO
72,3369,03/04/2020,,Morocco,1.0,0.0,0.0,MAR
73,3370,03/04/2020,,Nepal,1.0,0.0,1.0,NPL
74,3371,03/04/2020,,Nigeria,1.0,0.0,0.0,NGA
75,3372,03/04/2020,,North Macedonia,1.0,0.0,0.0,MKD
76,3373,03/04/2020,,Poland,1.0,0.0,0.0,POL
77,3374,03/04/2020,,Saudi Arabia,1.0,0.0,0.0,SAU
78,3375,03/04/2020,,Sri Lanka,1.0,0.0,1.0,LKA
79,3376,03/04/2020,,Tunisia,1.0,0.0,0.0,TUN
80,3391,03/04/2020,,Ukraine,1.0,0.0,0.0,UKR
81,3236,03/04/2020,Hubei,China,80271.0,2981.0,49955.0,CHN
82,3281,03/04/2020,Unassigned Location (From Diamond Princess),US,153.0,11.0,8.0,USA
83,3293,03/04/2020,New South Wales,Australia,52.0,2.0,11.0,AUS
84,3294,03/04/2020,"Toronto, ON",Canada,33.0,0.0,6.0,CAN
